Date,Close/Last,Volume,Open,High,Low
05/11/2023,$52.81,4446224,$52.04,$53.00,$51.93
05/10/2023,$52.61,4852961,$53.46,$53.61,$52.435
05/09/2023,$53.10,4876269,$53.21,$53.63,$53.02
05/08/2023,$53.75,3567497,$54.38,$54.49,$53.51
05/05/2023,$53.79,7504671,$54.17,$54.60,$52.42
05/04/2023,$49.88,5424532,$50.70,$50.9888,$48.95
05/03/2023,$51.35,3594599,$52.19,$52.635,$51.21
05/02/2023,$51.93,4165194,$52.83,$52.84,$50.95
05/01/2023,$53.09,2789567,$52.59,$53.72,$52.51
04/28/2023,$53.04,3508374,$51.77,$53.23,$51.65
04/27/2023,$52.14,2963857,$51.10,$52.305,$51.01
04/26/2023,$50.81,3127187,$51.05,$51.62,$50.44
04/25/2023,$50.95,2561838,$51.12,$51.53,$50.73
04/24/2023,$51.82,2975438,$51.37,$52.1359,$51.37
04/21/2023,$51.55,3912807,$52.01,$52.19,$50.92
04/20/2023,$52.34,4668899,$52.90,$53.14,$52.08
04/19/2023,$53.17,3778956,$52.45,$53.35,$52.12
04/18/2023,$52.46,3168072,$52.17,$52.50,$51.85
04/17/2023,$51.92,4968046,$51.16,$51.99,$50.69
04/14/2023,$51.44,3462978,$52.02,$52.40,$50.94
04/13/2023,$51.62,5068733,$50.97,$51.81,$50.54
04/12/2023,$51.32,4391396,$51.55,$51.97,$50.91
04/11/2023,$51.20,4814109,$51.30,$51.66,$50.975
04/10/2023,$51.11,2933379,$50.50,$51.2324,$50.40
04/06/2023,$51.08,3439173,$50.47,$51.27,$50.47
04/05/2023,$50.24,3468085,$49.28,$50.30,$49.21
04/04/2023,$49.87,3905357,$51.03,$51.09,$48.91
04/03/2023,$50.42,4324768,$50.46,$50.84,$50.0599
03/31/2023,$50.36,5071565,$50.22,$50.49,$49.96
03/30/2023,$49.82,5933595,$49.09,$49.92,$49.09
03/29/2023,$48.70,5201592,$48.49,$48.725,$47.99
03/28/2023,$47.50,5140838,$47.23,$47.81,$47.055
03/27/2023,$47.46,8219105,$48.34,$48.51,$47.32
03/24/2023,$47.34,6564710,$46.05,$47.36,$45.66
03/23/2023,$47.16,6555153,$48.73,$48.94,$46.61
03/22/2023,$48.75,5609219,$51.03,$51.25,$48.71
03/21/2023,$51.25,9632485,$50.35,$51.38,$50.335
03/20/2023,$48.85,7182073,$47.87,$49.435,$47.81
03/17/2023,$47.24,11535550,$49.49,$49.55,$47.13
03/16/2023,$50.19,13163900,$46.93,$50.35,$46.77
03/15/2023,$47.96,10302550,$48.825,$49.48,$46.94
03/14/2023,$51.12,8186829,$52.30,$52.45,$50.72
03/13/2023,$50.07,13489760,$51.03,$51.22,$49.11
03/10/2023,$53.15,11353970,$54.89,$55.00,$52.83
03/09/2023,$55.80,7252084,$57.40,$57.495,$55.42
03/08/2023,$57.35,5651427,$58.66,$58.77,$56.81
03/07/2023,$58.49,3540657,$60.35,$60.41,$58.11
03/06/2023,$60.34,4597228,$60.06,$60.55,$59.91
03/03/2023,$60.20,3783711,$60.40,$60.40,$59.72
03/02/2023,$60.03,4008216,$60.53,$60.79,$59.745
03/01/2023,$60.96,4360076,$61.16,$61.74,$60.83
02/28/2023,$61.11,6205094,$60.80,$61.39,$60.61
02/27/2023,$60.65,3591674,$60.58,$61.06,$60.31
02/24/2023,$60.17,4102321,$59.85,$60.35,$59.47
02/23/2023,$60.31,4010546,$61.00,$61.37,$59.82
02/22/2023,$60.66,5810403,$59.31,$60.86,$59.16
02/21/2023,$59.72,4858612,$60.63,$60.90,$59.30
02/17/2023,$60.82,5736956,$61.87,$62.15,$60.49
02/16/2023,$62.16,5064535,$61.61,$63.07,$61.23
02/15/2023,$61.83,4141570,$61.25,$61.91,$60.93
02/14/2023,$61.52,3756326,$61.67,$61.98,$61.045
02/13/2023,$61.96,3838456,$61.35,$62.07,$61.22
02/10/2023,$61.32,3096887,$60.80,$61.385,$60.75
02/09/2023,$60.87,3747664,$61.44,$61.695,$60.665
02/08/2023,$60.97,6026037,$60.23,$61.49,$59.98
02/07/2023,$60.61,3394294,$59.56,$60.865,$59.50
02/06/2023,$59.96,3895388,$58.46,$60.00,$58.30
02/03/2023,$58.75,6736111,$58.99,$59.28,$58.17
02/02/2023,$59.03,10982160,$61.01,$61.10,$58.45
02/01/2023,$61.23,6371786,$62.55,$62.76,$60.83
01/31/2023,$63.22,4341971,$62.48,$63.27,$61.76
01/30/2023,$63.17,2080712,$63.07,$63.48,$63.00
01/27/2023,$63.33,2294186,$63.48,$63.90,$63.19
01/26/2023,$63.98,3335391,$63.90,$64.05,$63.36
01/25/2023,$63.50,5564996,$62.60,$63.68,$62.44
01/24/2023,$63.16,4874895,$63.40,$63.41,$62.05
01/23/2023,$63.10,2354506,$62.43,$63.14,$62.28
01/20/2023,$62.47,3343176,$61.75,$62.48,$60.76
01/19/2023,$61.72,4435344,$61.90,$62.24,$61.40
01/18/2023,$62.21,3565275,$63.70,$64.03,$62.13
01/17/2023,$63.78,3765344,$64.06,$64.38,$63.61
01/13/2023,$64.41,2369512,$63.16,$64.48,$62.92
01/12/2023,$63.68,5011981,$63.80,$64.22,$63.495
01/11/2023,$63.46,5409469,$63.42,$63.785,$63.25
01/10/2023,$63.45,6055954,$63.77,$63.97,$63.20
01/09/2023,$63.87,3013994,$64.76,$64.875,$63.77
01/06/2023,$64.55,2893351,$64.09,$64.595,$63.76
01/05/2023,$63.51,3902338,$63.92,$64.08,$63.00
01/04/2023,$63.86,3763637,$63.50,$64.56,$63.18
01/03/2023,$62.93,3363521,$63.45,$63.87,$62.62
12/30/2022,$63.24,2351594,$63.26,$63.46,$62.94
12/29/2022,$63.63,1793389,$63.20,$63.76,$62.91
12/28/2022,$62.89,2763775,$63.48,$63.64,$62.86
12/27/2022,$63.33,2329817,$63.39,$63.45,$62.98
12/23/2022,$63.16,2344198,$62.38,$63.20,$62.11
12/22/2022,$62.40,3715827,$63.15,$63.27,$61.525
12/21/2022,$63.33,3367469,$63.48,$63.89,$63.24
12/20/2022,$62.80,4214041,$61.86,$63.24,$61.29
12/19/2022,$61.47,6757436,$62.58,$63.095,$61.285
12/16/2022,$62.57,13078290,$61.69,$62.76,$61.39
12/15/2022,$62.21,8011991,$61.78,$62.385,$61.4617
12/14/2022,$62.66,6048218,$63.42,$64.09,$62.36
12/13/2022,$63.56,5534012,$64.62,$64.80,$63.28
12/12/2022,$63.51,4785904,$62.66,$63.60,$62.30
12/09/2022,$62.51,5261196,$62.04,$62.935,$61.57
12/08/2022,$62.26,5963830,$62.45,$62.4999,$61.745
12/07/2022,$62.03,5662916,$61.49,$62.74,$61.1401
12/06/2022,$61.69,3616127,$61.61,$61.745,$61.05
12/05/2022,$61.53,5058371,$62.33,$62.64,$61.12
12/02/2022,$62.75,4421988,$62.55,$63.055,$62.37
12/01/2022,$63.10,6331959,$63.39,$63.43,$62.55
11/30/2022,$63.11,10713080,$61.02,$63.215,$60.71
11/29/2022,$61.44,3526833,$60.94,$61.74,$60.64
11/28/2022,$60.74,3787500,$60.54,$61.25,$60.54
11/25/2022,$61.08,2160455,$61.36,$61.43,$60.97
11/23/2022,$60.96,2362375,$60.59,$61.34,$60.59
11/22/2022,$60.88,3149230,$60.44,$60.94,$60.37
11/21/2022,$60.11,3351801,$59.74,$60.36,$59.26
11/18/2022,$59.82,3381601,$60.29,$60.62,$59.49
11/17/2022,$59.44,5907054,$58.99,$59.66,$58.77
11/16/2022,$59.87,4581189,$60.45,$60.84,$59.83
11/15/2022,$60.54,6113299,$61.10,$61.83,$60.25
11/14/2022,$60.24,4662280,$60.36,$61.11,$60.174
11/11/2022,$60.39,6332187,$60.91,$61.16,$60.03
11/10/2022,$60.59,4974340,$60.15,$60.92,$59.61
11/09/2022,$58.46,3849384,$58.74,$59.42,$58.39
11/08/2022,$59.13,4511182,$59.00,$59.8581,$58.38
11/07/2022,$59.17,3640934,$58.44,$59.31,$58.01
11/04/2022,$57.92,3388441,$58.39,$58.58,$57.05
11/03/2022,$57.61,5603268,$56.27,$58.15,$56.11
11/02/2022,$57.28,6611472,$57.28,$58.65,$56.82
11/01/2022,$57.07,6844442,$57.40,$58.14,$57.025
10/31/2022,$57.00,5647942,$56.66,$57.35,$56.48
10/28/2022,$56.80,4758752,$54.92,$56.90,$54.69
10/27/2022,$54.62,3573255,$54.76,$55.78,$54.55
10/26/2022,$54.22,3377045,$54.69,$54.98,$54.08
10/25/2022,$54.29,3899235,$53.72,$54.62,$53.47
10/24/2022,$54.35,3322805,$53.56,$54.56,$53.51
10/21/2022,$53.25,4078600,$51.77,$53.30,$51.66
10/20/2022,$51.85,4473716,$52.15,$52.965,$51.55
10/19/2022,$52.75,3600814,$52.34,$53.43,$52.32
10/18/2022,$52.60,5350830,$52.99,$53.32,$52.005
10/17/2022,$51.73,4148154,$51.93,$52.47,$51.595
10/14/2022,$50.71,5965682,$51.16,$52.07,$50.4285
10/13/2022,$50.94,5168624,$48.30,$51.51,$48.03
10/12/2022,$48.96,3866168,$49.00,$49.76,$48.545
10/11/2022,$48.05,4797048,$48.24,$49.21,$47.88
10/10/2022,$48.44,7099015,$49.81,$50.07,$48.22
10/07/2022,$49.71,4097088,$50.24,$50.58,$49.42
10/06/2022,$50.76,3121647,$50.86,$51.30,$50.59
10/05/2022,$51.30,4040768,$50.80,$51.65,$50.745
10/04/2022,$51.71,4124498,$50.01,$51.74,$49.99
10/03/2022,$49.18,4997982,$48.21,$49.39,$47.30
09/30/2022,$47.48,5209229,$47.57,$48.65,$47.31
09/29/2022,$47.66,7362263,$48.12,$48.425,$47.05
09/28/2022,$48.77,9837760,$48.41,$49.25,$48.30
09/27/2022,$48.56,5673991,$48.84,$49.09,$48.10
09/26/2022,$48.41,5906286,$49.24,$50.02,$48.09
09/23/2022,$49.77,5500710,$50.58,$50.96,$49.10
09/22/2022,$51.21,4988745,$52.59,$52.65,$51.10
09/21/2022,$52.29,4928231,$53.78,$54.25,$52.28
09/20/2022,$53.41,6373421,$54.00,$54.34,$52.46
09/19/2022,$54.59,3212787,$52.90,$54.69,$52.78
09/16/2022,$53.65,11543370,$53.99,$53.99,$52.72
09/15/2022,$54.18,5775006,$53.95,$54.915,$53.45
09/14/2022,$54.20,4425370,$54.44,$55.04,$53.56
09/13/2022,$54.34,5155197,$55.22,$55.94,$54.15
09/12/2022,$56.53,3484732,$55.90,$56.64,$55.50
09/09/2022,$55.04,4631303,$54.75,$55.31,$54.75
